NAME	1971q1	1971q2	1971q3	1971q4	1972q1	1972q2	1972q3	1972q4	1973q1	1973q2	1973q3	1973q4	1974q1	1974q2	1974q3	1974q4	1975q1	1975q2	1975q3	1975q4	1976q1	1976q2	1976q3	1976q4	1977q1	1977q2	1977q3	1977q4	1978q1	1978q2	1978q3	1978q4	1979q1	1979q2	1979q3	1979q4	1980q1	1980q2	1980q3	1980q4	1981q1	1981q2	1981q3	1981q4	1982q1	1982q2	1982q3	1982q4	1983q1	1983q2	1983q3	1983q4	1984q1	1984q2	1984q3	1984q4	1985q1	1985q2	1985q3	1985q4	1986q1	1986q2	1986q3	1986q4	1987q1	1987q2	1987q3	1987q4	1988q1	1988q2	1988q3	1988q4	1989q1	1989q2	1989q3	1989q4	1990q1	1990q2	1990q3	1990q4	1991q1	1991q2	1991q3	1991q4	1992q1	1992q2	1992q3	1992q4	1993q1	1993q2	1993q3	1993q4	1994q1	1994q2	1994q3	1994q4	1995q1	1995q2	1995q3	1995q4	1996q1	1996q2	1996q3	1996q4	1997q1	1997q2	1997q3	1997q4	1998q1	1998q2	1998q3	1998q4	1999q1	1999q2	1999q3	1999q4	2000q1	2000q2	2000q3	2000q4	2001q1	2001q2	2001q3	2001q4	2002q1	2002q2	2002q3	2002q4	2003q1	2003q2	2003q3	2003q4	2004q1	2004q2	2004q3	2004q4	2005q1	2005q2	2005q3	2005q4	2006q1	2006q2	2006q3	2006q4	2007q1	2007q2	2007q3	2007q4	2008q1	2008q2	2008q3	2008q4	2009q1	2009q2	2009q3	2009q4	2010q1	2010q2	2010q3	2010q4	2011q1	2011q2	2011q3	2011q4	2012q1	2012q2	2012q3	2012q4	2013q1	2013q2	2013q3	2013q4	2014q1	2014q2	2014q3	2014q4	2015q1	2015q2	2015q3	2015q4	2016q1	2016q2	2016q3	2016q4	2017q1	2017q2	2017q3
ABZK	NA	25.39199	25.85813	26.35324	26.2259	26.94146	27.59363	28.16739	27.01669	27.24862	26.18971	25.85138	25.0122	22.91847	24.51953	27.34509	31.09334	32.07193	33.99143	34.7958	34.11906	33.26687	33.43665	34.65448	35.68461	37.35542	37.85899	38.62922	41.18213	41.81868	44.67976	44.19368	49.40604	51.3915	51.37188	52.48944	53.26013	53.74159	57.37926	61.7815	65.05291	65.51717	65.97501	71.86568	73.01334	75.41169	80.15805	88.25398	107.9305	123.3652	123.7194	130.863	138.2438	138.4474	140.7795	143.4675	157.4918	170.7004	183.7554	185.9795	200.2935	203.9964	195.68	191.5709	194.9796	199.1775	202.4796	196.6523	215.5491	218.2036	229.3562	228.705	235.9336	237.9863	241.6017	227.0721	229.0151	234.4615	237.1802	230.7881	243.3473	246.7175	250.0092	243.1879	243.8331	245.5486	240.9262	245.6988	249.75	263.0673	272.2129	288.2514	300.5949	303.047	305.9091	285.9159	305.5062	312.8761	321.1261	328.9511	344.5572	354.4673	361.2632	357.5823	375.6257	418.2836	425.79	420.6326	433.0579	434.9048	435.7538	441.7108	452.4122	457.7654	439.7027	432.4066	425.2192	429.0862	431.5767	415.1662	411.3034	409.7534	422.8544	415.7421	416.6699	427.9628	448.9016	461.5286	477.7842	496.6323	491.5451	501.6466	501.1825	500.2281	492.6954	469.7776	531.0245	544.1072	540.1957	532.9334	576.7654	578.7675	569.1265	568.6646	564.3091	542.6257	547.2406	565.5312	568.1557	558.9706	553.4207	653.7312	675.2767	689.7514	721.8156	696.8743	737.3584	787.4794	785.0966	684.7418	648.3417	659.739	658.7452	696.1696	698.3861	700.2199	709.866	702.1739	724.1009	694.4149	673.144	670.5097	712.661	692.3283	686.5942	699.4662	766.6001	788.9194	782.9547	782.6612	776.899	786.541	780.2734	770.1194	791.6999	785.3987	801.8007
ABZZ	11.44026	11.7081	12.09221	12.40666	13.0082	13.47561	14.12764	14.5857	15.51057	16.09442	16.7529	17.34576	18.30383	18.91586	19.72046	20.31872	21.61326	22.60285	23.82974	24.85495	26.396	27.55377	28.97807	30.46084	32.32078	33.44297	35.07603	36.52258	38.90582	40.32129	42.34314	44.01458	46.8059	48.59612	50.72511	52.35074	55.51301	57.24026	59.78144	61.7815	65.46601	68.1713	71.31759	74.08012	78.28732	82.68803	86.68652	90.84032	96.89011	102.0997	104.6737	108.2325	116.3408	121.3187	125.8377	126.9131	135.7873	141.6128	146.3008	146.9897	157.4948	163.0128	167.0961	166.2126	174.5913	177.8309	183.3094	179.9727	189.3603	192.92	198.3816	194.5648	203.8414	208.6105	212.1819	206.5298	213.7831	215.331	219.8086	215.3732	222.3529	222.956	227.6361	219.8054	220.3703	224.5494	226.8435	228.2834	230.7938	232.1189	238.465	248.7004	256.9654	268.3915	282.662	265.7247	286.2772	289.0516	292.9207	295.2994	306.591	315.7128	322.1482	313.6311	328.3198	372.4557	378.9656	377.2715	384.7163	387.3032	386.6814	391.4738	397.1949	402.8524	400.1803	399.7343	397.1887	406.0154	414.9112	395.2056	385.8621	386.5081	397.5278	386.1734	390.4993	403.9893	418.3738	428.4155	435.1928	449.3737	448.773	464.797	454.2646	456.8439	448.3759	429.7654	485.1256	493.3393	489.6434	496.8584	544.4172	559.4622	554.6694	561.0161	562.1245	550.9789	561.3231	581.5767	579.814	586.8326	588.4686	685.9879	678.8524	681.2318	700.1145	681.9976	707.3411	742.4459	736.3492	653.2982	625.1237	640.2659	625.8279	658.7907	652.5967	646.7347	652.1701	650.8787	675.833	642.4471	633.4284	634.4949	674.2319	650.884	644.9836	659.1887	715.4075	744.405	749.6422	751.6664	747.1726	749.7261	740.6743	740.6234	765.5734	757.3641	776.4932
AFDR	0.0148708	0.01492981	0.01523861	0.01559299	0.01528011	0.01573778	0.01531249	0.01618112	0.01451677	0.01428494	0.01245657	0.01172965	0.009710798	0.007960321	0.008228403	0.00944846	0.01142035	0.01206906	0.0129256	0.01297972	0.01158071	0.01013166	0.009495312	0.008465015	0.008297296	0.008722033	0.008228688	0.00772481	0.00773401	0.007798535	0.008137389	0.008025414	0.008355752	0.008458445	0.007708935	0.00689766	0.005877466	0.005145802	0.005437459	0.00616867	0.005998327	0.005644511	0.005239483	0.005388943	0.004393975	0.004188658	0.004144521	0.004697768	0.006839551	0.009008531	0.008743738	0.009688658	0.01037142	0.009102143	0.008675926	0.009013931	0.009154291	0.01053229	0.01267789	0.0133157	0.01533738	0.01520955	0.01284482	0.01248802	0.02385232	0.02374064	0.02370391	0.02343619	0.02412645	0.0241336	0.02484043	0.02569571	0.0261854	0.02597349	0.02601534	0.02521227	0.02458685	0.02513049	0.02509024	0.0249423	0.02548296	0.01423298	0.01423677	0.0143366	0.01442503	0.01429861	0.01401959	0.01402167	0.005847277	0.007453788	0.008554149	0.008758754	0.008916385	0.007408318	0.00635043	0.006145363	0.005612352	0.005861703	0.006263403	0.006886399	0.007270363	0.007352864	0.007473721	0.00815748	0.00853791	0.008542203	0.008956116	0.009087734	0.01018002	0.01060285	0.01071103	0.01041518	0.01094622	0.0110143	0.009791616	0.009162556	0.01435327	0.01253695	0.01077088	0.01153604	0.01283338	0.01299184	0.01383959	0.01606623	0.01590857	0.01571438	0.01650799	0.01766627	0.01947734	0.02069238	0.02125892	0.00250724	0.002554546	0.002602592	0.002602592	0.002651384	0.00270093	0.002802313	0.002854163	0.002906797	0.002854163	0.002751237	0.002651384	0.00250724	0.002369683	0.002325261	0.002196177	0.002196177	0.002196177	0.002113533	0.002033548	0.001881315	0.002281541	0.00270093	0.002960219	0.003069461	0.003125294	0.003239416	0.00335686	0.00335686	0.00329772	0.003239416	0.003125294	0.003125294	0.003181943	0.00329772	0.003416843	0.003416843	0.003477676	0.003601915	0.003601915	0.003477676	0.003539365	0.003539365	0.003539365	0.003601915	0.0037948	0.003860858	0.003927808	0.003995655	0.004064405	0.004134062	0.004134062	0.004134062	0.004134062	0.004204632	0.004204632
AFSG	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
AFSR	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015
AIH	1281.452	1293.591	1306.346	1319.936	1333.998	1351.039	1370.845	1390.775	1410.977	1430.581	1448.57	1465.235	1479.655	1492.73	1504.47	1514.846	1524.287	1533.114	1542.439	1553.267	1566.428	1580.35	1592.951	1604.498	1614.671	1625.538	1636.735	1646.578	1657.724	1668.214	1678.164	1687.13	1698.461	1708.018	1716.721	1724.66	1732.47	1739.255	1744.625	1748.523	1750.977	1753.063	1754.757	1755.815	1756.966	1758.082	1759.225	1760.686	1761.581	1762.993	1766.319	1770.109	1774.619	1779.925	1785.035	1789.437	1793.426	1797.435	1801.529	1807.474	1814.542	1821.89	1830.217	1838.493	1846.344	1853.828	1861.32	1868.575	1874.652	1880.178	1885.134	1889.896	1894.2	1898.242	1902.148	1905.55	1908.921	1911.425	1912.996	1914.217	1914.762	1915.605	1916.147	1916.289	1916.481	1916.725	1917.097	1917.08	1915.873	1914.719	1915.417	1915.703	1916.201	1917.024	1917.639	1918.548	1920.003	1922.02	1924.383	1927.535	1931.053	1934.85	1939.269	1943.52	1948.577	1952.611	1956.806	1961.786	1967.023	1971.694	1976.702	1981.686	1986.515	1992.01	1998.054	2004.578	2015.64	2024.84	2032.014	2037.795	2043.132	2048.888	2054.892	2061.34	2067.652	2073.387	2079.434	2085.737	2093.105	2100.648	2108.076	2116.545	2126.271	2136.601	2146.864	2157.051	2169.851	2183.746	2197.862	2212.859	2226.682	2242.899	2262.585	2279.353	2295.549	2310.193	2324.034	2336.816	2346.444	2355.432	2363.682	2372.521	2379.935	2386.764	2393.023	2397.349	2401.308	2404.785	2408.399	2413.332	2421.197	2428.157	2434.522	2440.398	2445.765	2451.138	2456.772	2462.257	2466.376	2470.056	2473.562	2477.139	2481.804	2485.688	2490.097	2495.42	2500.27	2505.698	2512.274	2519.201	2526.481	2534.365	2541.436	2548.355	2556.014	2563.79	2571.755
AIHB	110.3604	113.9357	118.7073	124.695	132.5587	142.6544	146.0348	152.9796	161.42	170.9279	181.7137	186.4926	187.4863	185.4162	189.0426	202.1092	216.5346	228.1612	240.1354	240.3073	249.7913	256.5205	263.7253	275.1065	278.6979	298.5467	312.2321	329.0187	343.7031	358.867	371.247	375.8302	388.5859	406.8448	417.6017	417.7908	412.3084	399.0725	411.0747	411.7286	408.3595	390.1655	381.5648	388.0621	382.3501	384.0069	380.8174	389.8104	419.0066	470.5435	484.491	500.072	523.5224	535.129	548.4371	576.3228	596.9418	624.1895	667.7275	691.5769	732.1546	736.1424	718.4009	737.0986	689.9727	689.7979	687.2769	685.918	697.4892	694.8661	710.7596	719.3285	714.2736	714.1093	704.2989	695.1702	665.238	665.7711	655.1492	650.6613	662.1127	668.1173	671.0427	674.8617	668.2487	666.5209	659.0903	640.3345	629.9595	624.1317	658.499	694.3944	733.8402	733.1831	726.9435	735.2296	752.7606	779.8835	803.4011	825.9603	840.9491	862.1665	891.9726	929.7923	957.312	982.1136	1006.337	1021.868	1045.591	1087.527	1103.684	1130.448	1151.094	1166.311	1188.815	1205.23	1228.729	1260.582	1290.321	1319.762	1345.681	1357.668	1374.333	1384.309	1405.901	1425.234	1435.961	1459.779	1463.378	1483.968	1506.736	1533.786	1579.316	1628.04	1682.428	1748.558	1825.421	1918.906	2042.21	2200.602	2346.084	2474.451	2554.31	2606.636	2662.505	2671.429	2693.499	2702.521	2690.83	2676.22	2612.339	2455.021	2324.447	2297.28	2324.016	2354.633	2379.419	2395.148	2413.661	2439.729	2412.954	2395.419	2342.526	2302.394	2300.222	2284.979	2308.66	2338.323	2359.387	2374.677	2389.51	2423.474	2436.86	2474.221	2496.679	2529.116	2599.684	2646.05	2670.231	2714.684	2746.297	2763.078	2817.731	2846.787	2873.745	2919.365	2963.834
AIPB	NA	NA	NA	NA	235.3574	240.8417	247.3816	247.9012	247.1191	261.0983	264.7361	280.0172	296.9328	316.5778	319.6543	340.1557	346.8046	359.1269	356.1597	368.1882	371.6169	389.1843	396.799	413.7779	419.1441	426.3917	436.4442	436.071	463.7502	470.3882	474.6216	466.7698	484.6146	506.1183	514.2475	538.8594	546.8492	565.8661	583.2384	586.7352	586.8376	613.6765	639.894	666.6058	669.7366	676.0713	691.6566	717.7708	740.6634	747.4271	745.3963	750.4645	792.8319	784.2557	801.0585	817.6534	824.6126	865.878	847.4339	867.6367	879.0344	891.5255	892.0026	912.476	921.8633	934.3256	975.4157	997.0018	1035.515	1015.081	1014.033	1024.62	1056.427	1083.656	1108.855	1112.833	1125.097	1146.782	1168.853	1178.099	1269.557	1216.916	1225.768	1173.46	1242.384	1269.004	1215.461	1251.325	1166.353	1245.828	1370.907	1357.692	1274.457	1321.816	1317.049	1345.117	1381.016	1357.157	1350.707	1374.287	1487.881	1370.793	1382.335	1401.98	1481.926	1432.342	1423.371	1466.867	1492.294	1474.747	1506.495	1551.774	1547.556	1559.007	1578.767	1590.024	1677.183	1635.447	1624.498	1615.982	1686.204	1722.695	1746.396	1769.079	1776.4	1807.983	1834.846	1804.583	1845.81	1840.434	1871.686	1826.125	1939.009	1867.179	1873.743	1907.599	1985.592	2006.543	1930.895	1972.381	1957.87	2021.709	2112.161	2086.86	2131.279	2140.646	2180.214	2264.702	2134.794	2362.725	2384.305	2478.838	2230.6	2225.434	2205.536	2228.651	2266.329	2233.526	2216.204	2242.853	2308.219	2265.719	2297.191	2299.463	2345.458	2304.433	2324.385	2331.986	2318.835	2354.29	2333.587	2331.243	2349.92	2329.552	2341.682	2343.75	2342.858	2357.949	2368.492	2371.274	2348.299	2404.755	2429.561	2430.097	2445.851	2438.512	2446.982
ALBA	NA	NA	NA	NA	95	95	95	95	84	84	84	84	91	91	91	91	102	102	102	102	103	103	103	103	163	163	163	163	143	143	143	143	200	200	200	200	583	583	583	583	1251	1251	1251	1251	1249	1249	1249	1249	2904	2904	2904	2904	3648	3648	3648	3648	3634	3634	3634	3634	1295	1295	1295	1295	1295	3930	3930	3930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALBM	NA	NA	NA	NA	135	162	162	162	162	189	189	189	189	222	222	222	222	293	293	293	293	376	376	376	376	462	462	484	484	506	506	532	718	718	754	754	783	783	791	807	840	840	840	840	1080	1080	1080	1080	2010	2010	2010	2010	2012	2012	2012	2012	2344	2344	2344	2344	2464	2464	2464	2464	2736	2736	2736	2736	2832	2832	2832	2832	3112	3112	3112	3112	3192	3192	3192	3192	3272	3272	3272	3272	3336	3336	3336	3336	3456	3456	3456	3456	3552.82	3552.82	3552.82	3552.82	3597.44	3597.44	3597.44	3597.44	3734.22	3734.22	3734.22	3734.22	3801	3801	3801	3801	3895.12	3895.12	3895.12	3895.12	3996.48	4887.529	4887.529	4887.529	5840.383	5840.383	5840.383	5840.383	5680.947	5680.947	5680.947	5680.947	5779.228	5779.228	5779.228	5779.228	5887.496	5887.496	5887.496	5887.496	5978.661	5978.661	5978.661	5978.661	6084.062	6084.062	6084.062	6084.062	6061.446	6061.446	6061.446	6061.446	6176.464	6176.464	6176.464	6176.464	6367.414	6367.414	6367.414	6367.414	6282.908	6282.908	6282.908	6282.908	6358.835	6358.835	6358.835	6358.835	6449.885	6449.885	6449.885	6449.885	5910.039	5910.039	5910.039	5910.039	5433.45	5433.45	5433.45	5433.45	5363.826	5363.826	5363.826	5363.826	5339.264	5339.264	5339.264	5339.264	5237.055	5237.055	5237.055	5237.055	5275.989	5275.989	5275.989
